Customer_ID,Age,Income_Level,Employment_Status,Credit_Score,Card_Issuance_Date,Monthly_Spend,Delinquency_Status,Outstanding_Balance,Bank_Name,Region,Delinquency_Reason,Card_Utilization,Regulatory_Change,Net_Growth_Impact
1,41,Low,Student,575,2020-07-03,12317.76,0,63110.99,Others,North,None,49.34,0,1
2,35,Medium,Employed,663,2021-02-08,24704.69,0,53083.33,RBL,East,None,37.26,1,1
3,43,Medium,Employed,758,2020-07-01,10779.98,0,20661.04,Axis,East,None,34.94,0,1
4,52,Low,Employed,794,2020-09-18,11706.83,0,41947.55,ICICI,East,None,28.57,0,0
5,34,High,Employed,713,2022-09-26,63960.03,0,176126.43,SBI,North,None,44.88,0,1
6,34,Medium,Unemployed,595,2021-02-17,2426.77,0,6139.77,ICICI,Central,None,36.93,0,1
7,52,Medium,Employed,798,2020-07-31,25701.21,0,89904.93,ICICI,Central,None,20.94,0,1
8,44,High,Student,655,2020-09-03,27074.34,0,96684.73,Others,North,None,22.07,0,1
9,32,Low,Employed,663,2021-03-27,10888.62,0,7458.11,ICICI,South,None,44.26,0,0
10,42,Low,Self-Employed,633,2020-09-11,2849.12,0,6706.91,Axis,South,None,41.92,0,1
11,32,High,Student,588,2021-12-24,65423.47,0,192766.08,HDFC,West,None,53.24,0,1
12,32,Low,Employed,870,2020-09-05,7600.4,0,0.0,SBI,North,None,42.65,0,0
13,39,Medium,Employed,785,2022-05-31,27497.69,0,46726.65,Federal,North,None,18.39,0,1
14,18,Low,Self-Employed,640,2022-12-09,12831.89,0,38622.69,IDFC First,North,None,51.55,0,1
15,19,Low,Employed,803,2021-05-01,9495.37,0,33081.11,SBI,West,None,22.89,0,0
16,31,Medium,Self-Employed,711,2020-02-03,11311.37,0,24203.13,SBI,Central,None,60.78,0,1
17,26,Low,Employed,728,2021-10-14,11165.25,0,15715.49,HDFC,West,None,59.34,1,1
18,40,Medium,Employed,656,2020-02-03,19042.33,0,49538.15,SBI,West,None,28.29,0,1
19,27,Medium,Employed,669,2020-11-03,21900.11,0,51811.23,SBI,East,None,23.61,0,0
20,22,High,Student,657,2020-09-06,32700.32,0,61655.84,Axis,South,None,16.29,0,1
21,51,Medium,Employed,582,2020-04-13,2101.66,0,2212.3,Axis,South,None,14.04,0,0
22,34,Low,Employed,670,2021-03-23,8292.83,1,16739.24,Federal,East,Job Loss,72.65,0,0
23,37,High,Employed,700,2022-01-21,28034.97,0,25800.2,HDFC,North,None,24.18,1,0
24,22,Medium,Employed,778,2022-11-30,23000.55,0,40291.92,SBI,East,None,32.32,0,1
25,31,Medium,Employed,663,2020-12-20,19641.5,0,47577.31,ICICI,North,None,89.78,0,1
26,38,High,Employed,748,2020-11-10,29471.36,0,54053.61,RBL,South,None,63.37,0,1
27,25,Medium,Self-Employed,556,2021-05-04,41334.7,1,181929.14,Others,South,Overspending,60.91,0,0
28,40,Medium,Self-Employed,750,2021-02-02,16875.83,0,39642.25,SBI,Central,None,53.54,1,0
29,30,Medium,Employed,645,2021-08-15,20799.68,0,70771.23,Kotak Mahindra,East,None,61.03,0,1
30,34,Low,Employed,707,2020-01-26,17392.05,0,45446.48,IDFC First,East,None,0.0,0,1
31,30,Low,Employed,724,2020-07-02,2957.83,1,3854.95,SBI,East,Medical,37.42,0,1
